"X.1","food_item","Region","Energy_kcal","Carbohydrates..available_g","Protein_g","Fat_g","Fibre_g","Phytate_mg","Ca_mg","Cu_mg","Fe_mg","I_µg","Mg_mg","Se_µg","Zn_mg","FE2_3.x","FoodName_3","X","ID_0","FoodName_0","ID_1","FoodName_1","ID_2","FoodName_2","ID_3","FE2_3.y","Description1","Desc1.ref","Description2"
166,"Palm Oil","M",895,0,0,99.4,0,0,3,0,0.4,0,0,0,0,"A037N#F02.A068M$F27.A016P$F28.A0C02","palm oil",191,"OT","Other foods",2577,"Palm Oil and products","2165","palm oil","2165.01","A037N#F02.A068M$F27.A016P$F28.A0C02","","",""
169,"Palmkernel Oil","M",884.321223,0,0,100,0,0,3,0,0.4,0,0,0,0,"A037P#F02.A068M$F27.A016N$F28.A0C02","palm kernel oil",190,"OT","Other foods",2576,"Palmkernel Oil and products","21691.14","oil of palm kernel","21691.14.01","A037P#F02.A068M$F27.A016N$F28.A0C02","","",""
172,"Peas","M",88.671128,8.3,5.5,0.8,6.3,28,20,0.17,1.7,2,28,0,0.87,"A013J#F28.A07HS","peas, dried, raw",119,"PB","Pulses and Beans",2547,"Peas and products","1705","peas, dry","1705.01","A013J#F28.A07HS","","",""
175,"Pelagic Fish","M",133,5.9,21.1,2.8,0,0,50,0.06,1.8,32,26,37,0.5,"A02CT#F28.A07HS$F10.A166Y","mackerel, fresh, raw",538,"AP","Animal Products",2763,"Pelagic Fish","1527","pelagic fish, fresh","1527.01","A02CT#F28.A07HS$F10.A166Y","","",""
178,"Pepper","M",228,38.3,10.9,3.3,26.5,0,437,1.13,28.9,0,194,3.1,1.4,"A019C#F02.A0ELF$F01.A05TT$F27.A019C","pepper, black",353,"OT","Other foods",2640,"Pepper and products","1651","pepper (piper spp.), raw","1651.01","A019C#F02.A0ELF$F01.A05TT$F27.A019C","","",""
181,"Pigmeat","M",405,0,12.6,39.4,0,0,11,0.09,1.9,1,12,6,3.2,"A01RG#F28.A07HS","pig meat, without bones, fresh, raw",388,"AP","Animal Products",2733,"Pigmeat and products","21113.02","meat of pig boneless, fresh or chilled","21113.02.01","A01RG#F28.A07HS$F20.A07QM","","",""
184,"Pimento","M",26,4.2,1.8,0.3,3.5,30,33,0.1,1.2,1,42,0.5,0.3,"A00HZ#F28.A07HS","pepper, raw",354,"FV","Fruits and Vegetables",2641,"Pimento and products","1652","chillies and peppers, dry (capsicum spp. and pimenta spp.), raw","1652.01","A00HZ#F28.A07HS","","",""
187,"Pineapples","M",56,12.1,0.4,0.3,1.4,0,22,0.33,0.5,0,9,0,2.2,"A01LP#F28.A07HS","pineapple, raw",289,"FV","Fruits and Vegetables",2618,"Pineapples and products","1318","pineapples","1318.01","A01LP#F28.A07HS","","",""
190,"Plantains","M",149,34.3,1.1,0.3,2.3,0,7,0.08,1.1,2,37,2,0.1,"A01LE#F28.A07HS","plantain, raw",285,"FV","Fruits and Vegetables",2616,"Plantains and products","1313","plantains and others","1313.01","A01LE#F28.A07HS","","",""
193,"Potatoes","M",82,17.3,1.9,0.1,1.8,147,10,0.09,0.8,2,27,2,0.3,"A00ZT#F28.A07HS","potatoes, raw",77,"RT","Roots and Tubers",2531,"Potatoes and products","1510","potatoes","1510.01","A00ZT#F28.A07HS","","",""
196,"Poultry Meat","M",136,0,20.6,6,0,0,12,0.04,1.2,0,25,12,1,"A01SP#F28.A07HS","chicken meat, fresh, raw",391,"AP","Animal Products",2734,"Poultry Meat and products","21121","meat of chickens, fresh or chilled","21121.01","A01SP#F28.A07HS","","",""
199,"Pulses, Other","M",335,54.7,21.1,1.2,10.6,1154,84,0.08,7.8,0,41,8,8,"A013N#F28.A07HS","cow peas, dried, raw",123,"PB","Pulses and Beans",2549,"Pulses, Other and products","1706","cow peas, dry","1706.01","A013N#F28.A07HS","","",""
202,"Rape and Mustard Oil","M",884.321223,0,0,100,0,0,0,0,0,0,0,0,0,"A036V#F02.A068M$F27.A015M$F28.A0C02","rape seed oil",187,"OT","Other foods",2574,"Rape and Mustard Oil and products","21641.01","rapeseed or canola oil , crude","21641.01.01","A036V#F02.A068M$F27.A015M$F28.A0C02","","",""
206,"Rice (Milled Equivalent)","M",346,76.9,7.3,0.4,2.8,352,11,0.01,2.6,8,35,2.4,1.2,"A001D#F28.A07HS$F10.A0F2R","rice grain, white, raw",21,"CE","Cereals",2805,"Rice and products","23161.01","rice, milled (husked) ","23161.01.01","A001D#F28.A07HS$F10.A0F2R","Rice, Milled (Husked): White rice milled from imported husked rice. Includes semi-milled, whole-milled and parboiled rice.","FAOSTAT Commodity List (FCL)",""
207,"Rice (Milled Equivalent)","M",346,76.9,7.3,0.4,2.8,352,11,0.01,2.6,8,35,2.4,1.2,"A001D#F28.A07HS$F10.A0F2R","rice grain, white, raw",22,"CE","Cereals",2805,"Rice and products","23161.02","rice, milled ","23161.02.01","A001D#F28.A07HS$F10.A0F2R","Rice, Milled: White rice milled from locally grown paddy. Includes semi-milled, whole-milled and parboiled rice.","FAOSTAT Commodity List (FCL)",""
210,"Roots, Other","M",95,19.7,1.8,0.1,4.1,78,51,0.17,1.2,0,33,1,0.2,"A010B#F28.A07HS","taros, raw",91,"RT","Roots and Tubers",2534,"Roots, Other and products","1550","taro ","1550.01","A010B#F28.A07HS","","",""
213,"Rye","M",351.099426,59.9,11.9,1.8,10.7,282,8,0.1,2,10,68,35.3,4,"A001K#F28.A07HS$F10.A06HR","rye grain, unrefined, raw ",42,"CE","Cereals",2515,"Rye and products","116","rye","116.01","A001K#F28.A07HS$F10.A06HR","","",""
216,"Sesameseed","M",600,18.6,18.5,49.4,3.7,4710,1150,2.15,15.5,0,347,5.7,10.25,"A015K#F02.A066S$F01.A05RY$F27.A015K","sesame seeds",164,"PB","Pulses and Beans",2561,"Sesame seed and products","1444","sesame seed","1444.01","A015K#F02.A066S$F01.A05RY$F27.A015K","","",""
219,"Sesameseed Oil","M",884,0,0,100,0,0,0,0,0,0,0,0,0,"A037C#F02.A068M$F27.A015K$F28.A0C02","sesame seed oil",195,"PB","Pulses and Beans",2579,"Sesameseed Oil and products","21691.07","oil of sesame seed","21691.07.01","A037C#F02.A068M$F27.A015K$F28.A0C02","","",""
222,"Sorghum","M",383,75.8,11,3.1,3.7,489,27,0.59,8.7,10,559,13,1.6,"A001L#F28.A07HS","sorghum grain, raw",53,"CE","Cereals",2518,"Sorghum and products","114","sorghum","114.01","A001L#F28.A07HS","","",""
225,"Soyabean Oil","M",884.321223,0,0,100,0,0,0,0,0.1,0,0,0,0,"A036X#F02.A068M$F27.A015P$F28.A0C02","soybean oil",184,"PB","Pulses and Beans",2571,"Soyabean Oil and products","2161","soya bean oil","2161.01","A036X#F02.A068M$F27.A015P$F28.A0C02","","",""
228,"Soyabeans","M",397,20.8,33.2,16.6,15.7,1473,247,1.48,8.3,6,245,14,4.7,"A0DCH#F28.A07HS","soybeans, dried, raw",148,"PB","Pulses and Beans",2555,"Soyabeans and products","141","soya beans","141.01","A0DCH#F28.A07HS","","",""
231,"Spices, Other","M",382.887189,43.8,7.8,9.9,21.1,0,183,0.6,7,0,193,4.5,1,"A01AC#F02.A0F0F$F01.A05VM$F27.A01AC","turmeric roots",362,"OT","Other foods",2645,"Spices, Other and products","1699","other stimulant, spice and aromatic crops, n.e.c. ","1699.01","A01AC#F02.A0F0F$F01.A05VM$F27.A01AC","","",""
234,"Sugar (Raw Equivalent)","M",369,92.2,0,0,0,0,10,0.12,0.2,0,2,0,0.1,"A032J#F02.A0EPY$F28.A0C04$F28.A0BZT$F10.A07XK","sugar, white",100,"OT","Other foods",2542,"Sugar (Raw Equivalent) and products","23520","refined sugar","23520.01","A032J#F02.A0EPY$F28.A0C04$F28.A0BZT$F10.A07XK","Sugar, Refined: Production covers domestic production, plus or minus imports and/or exports of raw centrifugal sugar in terms of refined sugar.","FAOSTAT Commodity List (FCL)",""
237,"Sugar Beet","M",40.630975,5.8,1.6,0.1,2.4,0,17,0.1,0.8,0,26,0.7,0.4,"A010T#F28.A07HS","beetroots, sugar, raw",97,"OT","Other foods",2537,"Sugar beet and products","1801","sugar beet","1801.01","A010T#F28.A07HS","","",""
240,"Sugar Cane","M",60,14,1,0,2,0,10,0,0,0,2,0,0,"A010V#F02.A0ELH$F01.A05QL$F27.A010V","sugar canes",96,"OT","Other foods",2536,"Sugar cane and products","1802","sugar cane","1802.01","A010V#F02.A0ELH$F01.A05QL$F27.A010V","","",""
243,"Sugar, Non-Centrifugal","M",56,14.6,0,0,0,0,13,0.1,0.3,0,4,0,0,"A033Z#F27.A010V","syrups, sugar cane",98,NA,NA,2541,"Sugar non-centrifugal and products","23511.02","cane sugar, non-centrifugal","23511.02.01","A033Z#F27.A010V","Sugar, Non-Centrifugal: Generally derived from sugar cane through traditional methods without centrifugation.","FAOSTAT Commodity List (FCL)",""
246,"Sunflowerseed","M",607.552581,12.2,22.8,49.6,6.6,5160,116,1.5,7.8,0,354,59.5,10.3,"A015L#F28.A07KG","sunflower seeds, dried",156,"OT","Other foods",2557,"Sunflower seed and products","1445","sunflower seed","1445.01","A015L#F28.A07KG","","",""
249,"Sunflowerseed Oil","M",884.321223,0,0,100,0,0,0,0,0,0,0,0,0,"A037D#F02.A068M$F27.A015L$F28.A0C02","sunflower oil",186,"OT","Other foods",2573,"Sunflowerseed Oil and products","21631.01","sunflower-seed oil, crude","21631.01.01","A037D#F02.A068M$F27.A015L$F28.A0C02","","",""
