"ref_fctcode","ID_3","X","ID_0","FoodName_0","ID_1","FoodName_1","ID_2","FoodName_2","FE2_3","FoodName_3","Description1","Desc1.ref","Description2"
"MW01_0058","23161.01.01",21,"CE","Cereals",2805,"Rice and products","23161.01","rice, milled (husked) ","A001D#F28.A07HS$F10.A0F2R","rice grain, white, raw","Rice, Milled (Husked): White rice milled from imported husked rice. Includes semi-milled, whole-milled and parboiled rice.","FAOSTAT Commodity List (FCL)",""
"MW01_0058","23161.02.01",22,"CE","Cereals",2805,"Rice and products","23161.02","rice, milled ","A001D#F28.A07HS$F10.A0F2R","rice grain, white, raw","Rice, Milled: White rice milled from locally grown paddy. Includes semi-milled, whole-milled and parboiled rice.","FAOSTAT Commodity List (FCL)",""
"MW03_0067","21114.01",398,"AP","Animal Products",2735,"Meat, Other and products","21114","meat of rabbits and hares, fresh or chilled","A01RQ#F28.A07HS","rabbit meat, fresh, raw","","",""
"MW03_0067","21119.01.01",405,"AP","Animal Products",2735,"Meat, Other and products","21119.01","meat of other domestic rodents, fresh or chilled","A0F6B#F28.A07HS$F10.A166Y","rat meat, fresh, raw","","",""
"MW01_0060","114.01",53,"CE","Cereals",2518,"Sorghum and products","114","sorghum","A001L#F28.A07HS","sorghum grain, raw","","",""
"MW02_0019","141.01",148,"PB","Pulses and Beans",2555,"Soyabeans and products","141","soya beans","A0DCH#F28.A07HS","soybeans, dried, raw","","",""
"MW02_0012","141.02",148,"PB","Pulses and Beans",2555,"Soyabeans and products","141","soya beans","A185Q#F27.A0DCH","soybeans, flour, raw","","",""
"MW08_0007","1802.01",96,"OT","Other foods",2536,"Sugar cane and products","1802","sugar cane","A010V#F02.A0ELH$F01.A05QL$F27.A010V","sugar canes","","",""
"MW04_0020","1214.03",231,"FV","Fruits and Vegetables",2605,"Vegetables, Other and products","1214","lettuce and chicory","A00LV#F28.A07HS","rape leaves, raw","","",""
"MW04_0036","1234.01",220,"FV","Fruits and Vegetables",2601,"Tomatoes and products","1234","tomatoes","A0DMX#F28.A07HS","tomatoes, raw","","",""
"MW01_0065","1530.01",82,"RT","Roots and Tubers",2533,"Sweet potatoes and products","1530","sweet potatoes","A010C#F28.A07HS$F10.A0F2R","sweet potato, white-flesh, raw","Nutritional disaggregation","","vitamin A"
